Champion,Advantage|% Advantage,Percentile,Count|Number of Players,Smoothed Count|Number of Players,Normalized Count|Normalized Number of Players,Smoothed Normalized Count|Normalized Number of Players,countatadvantage
Barik,0.250,0.90204,1402,1398.658, 2.3615e-02, 2.3559e-02,37846
Barik,0.275,0.92444,1144,1142.456, 1.9270e-02, 1.9244e-02,32110
Barik,0.300,0.94344,850,878.728, 1.4317e-02, 1.4802e-02,26446
Barik,0.325,0.95909,689,692.392, 1.1606e-02, 1.1663e-02,20875
Barik,0.350,0.97145,497,509.000, 8.3715e-03, 8.5737e-03,15903
Barik,0.375,0.98086,345,360.475, 5.8112e-03, 6.0719e-03,11884
Barik,0.400,0.98789,244,251.684, 4.1100e-03, 4.2394e-03,8085
Barik,0.425,0.99268,146,159.513, 2.4592e-03, 2.6869e-03,5329
Barik,0.450,0.99583,105,106.639, 1.7686e-03, 1.7963e-03,3259
Barik,0.475,0.99776,41,53.468, 6.9061e-04, 9.0063e-04,1891
Barik,0.500,0.99888,38,37.108, 6.4008e-04, 6.2505e-04,938
Barik,0.525,0.99943,8,14.184, 1.3475e-04, 2.3891e-04,528
Barik,0.550,0.99975,13,14.633, 2.1897e-04, 2.4648e-04,243
Atlas,-0.475,0.00020,2,2.089, 3.4435e-04, 3.5961e-04,271
Atlas,-0.450,0.00036,1,1.399, 1.7218e-04, 2.4083e-04,580
Atlas,-0.425,0.00070,1,3.101, 1.7218e-04, 5.3397e-04,1141
Atlas,-0.400,0.00137,7,9.487, 1.2052e-03, 1.6335e-03,2264
Atlas,-0.375,0.00271,24,23.076, 4.1322e-03, 3.9731e-03,4127
Atlas,-0.350,0.00516,30,34.418, 5.1653e-03, 5.9259e-03,7011
Atlas,-0.325,0.00931,50,56.576, 8.6088e-03, 9.7410e-03,11155
Atlas,-0.300,0.01591,97,96.829, 1.6701e-02, 1.6672e-02,16516
Atlas,-0.275,0.02568,125,133.190, 2.1522e-02, 2.2932e-02,23856
Atlas,-0.250,0.03980,200,194.443, 3.4435e-02, 3.3479e-02,32221
Atlas,-0.225,0.05887,235,238.032, 4.0461e-02, 4.0983e-02,41799
Atlas,-0.200,0.08361,294,292.082, 5.0620e-02, 5.0290e-02,52324
Atlas,-0.175,0.11457,344,339.297, 5.9229e-02, 5.8419e-02,62664
Atlas,-0.150,0.15166,380,375.215, 6.5427e-02, 6.4603e-02,73334
Atlas,-0.125,0.19506,404,398.741, 6.9559e-02, 6.8654e-02,82203
Atlas,-0.100,0.24371,417,410.184, 7.1798e-02, 7.0624e-02,88659
Atlas,-0.075,0.29618,401,401.956, 6.9043e-02, 6.9207e-02,94456
Atlas,-0.050,0.35208,407,399.335, 7.0076e-02, 6.8756e-02,97945
Atlas,-0.025,0.41004,369,372.677, 6.3533e-02, 6.4166e-02,98864
Atlas,0.000,0.46855,365,356.696, 6.2844e-02, 6.1415e-02,97205
Atlas,0.025,0.52608,335,321.772, 5.7679e-02, 5.5402e-02,94342
Atlas,0.050,0.58191,238,251.608, 4.0978e-02, 4.3321e-02,89831
Atlas,0.075,0.63508,217,218.272, 3.7362e-02, 3.7581e-02,84775
Atlas,0.100,0.68525,185,183.861, 3.1853e-02, 3.1657e-02,78203
Atlas,0.125,0.73153,145,148.487, 2.4966e-02, 2.5566e-02,71645
Atlas,0.150,0.77393,122,123.158, 2.1006e-02, 2.1205e-02,64521
Atlas,0.175,0.81212,95,98.684, 1.6357e-02, 1.6991e-02,57137
Atlas,0.200,0.84593,87,84.772, 1.4979e-02, 1.4596e-02,50898
Atlas,0.225,0.87605,66,65.513, 1.1364e-02, 1.1280e-02,43913
Atlas,0.250,0.90204,39,44.424, 6.7149e-03, 7.6488e-03,37846
Atlas,0.275,0.92444,41,38.538, 7.0592e-03, 6.6353e-03,32110
Atlas,0.300,0.94344,21,24.177, 3.6157e-03, 4.1627e-03,26446
Atlas,0.325,0.95909,20,19.956, 3.4435e-03, 3.4359e-03,20875
Atlas,0.350,0.97145,14,14.316, 2.4105e-03, 2.4650e-03,15903
Atlas,0.375,0.98086,10,10.291, 1.7218e-03, 1.7719e-03,11884
Atlas,0.400,0.98789,6,6.797, 1.0331e-03, 1.1704e-03,8085
Atlas,0.425,0.99268,5,5.259, 8.6088e-04, 9.0556e-04,5329
Atlas,0.450,0.99583,5,4.475, 8.6088e-04, 7.7044e-04,3259
Atlas,0.475,0.99776,2,2.367, 3.4435e-04, 4.0756e-04,1891
Atlas,0.500,0.99888,1,1.297, 1.7218e-04, 2.2339e-04,938
Atlas,0.525,0.99943,1,0.892, 1.7218e-04, 1.5365e-04,528
Atlas,0.550,0.99975,0,0.253, 0.0000e+00, 4.3589e-05,243
Ash,-0.475,0.00020,12,14.120, 1.7674e-04, 2.0797e-04,271
Ash,-0.450,0.00036,10,13.000, 1.4728e-04, 1.9147e-04,580
Ash,-0.425,0.00070,21,27.494, 3.0929e-04, 4.0493e-04,1141
Ash,-0.400,0.00137,50,59.703, 7.3641e-04, 8.7931e-04,2264
Ash,-0.375,0.00271,100,116.209, 1.4728e-03, 1.7115e-03,4127
Ash,-0.350,0.00516,200,217.158, 2.9456e-03, 3.1984e-03,7011
Ash,-0.325,0.00931,328,360.361, 4.8308e-03, 5.3075e-03,11155
Ash,-0.300,0.01591,559,588.259, 8.2331e-03, 8.6640e-03,16516
Ash,-0.275,0.02568,858,887.601, 1.2637e-02, 1.3073e-02,23856
Ash,-0.250,0.03980,1243,1262.658, 1.8307e-02, 1.8597e-02,32221
Ash,-0.225,0.05887,1681,1688.772, 2.4758e-02, 2.4873e-02,41799
Ash,-0.200,0.08361,2129,2138.253, 3.1356e-02, 3.1493e-02,52324
Ash,-0.175,0.11457,2588,2601.911, 3.8117e-02, 3.8321e-02,62664
Ash,-0.150,0.15166,3159,3113.139, 4.6526e-02, 4.5851e-02,73334
Ash,-0.125,0.19506,3490,3493.747, 5.1401e-02, 5.1457e-02,82203
Ash,-0.100,0.24371,3931,3892.551, 5.7897e-02, 5.7330e-02,88659
Ash,-0.075,0.29618,4255,4188.867, 6.2668e-02, 6.1694e-02,94456
Ash,-0.050,0.35208,4339,4312.013, 6.3906e-02, 6.3508e-02,97945
Ash,-0.025,0.41004,4451,4387.994, 6.5555e-02, 6.4627e-02,98864
Ash,0.000,0.46855,4254,4268.892, 6.2654e-02, 6.2873e-02,97205
Ash,0.025,0.52608,4308,4219.291, 6.3449e-02, 6.2143e-02,94342
Ash,0.050,0.58191,3908,3911.082, 5.7558e-02, 5.7603e-02,89831
Ash,0.075,0.63508,3674,3640.456, 5.4111e-02, 5.3617e-02,84775
Ash,0.100,0.68525,3269,3265.063, 4.8146e-02, 4.8089e-02,78203
Ash,0.125,0.73153,2876,2887.051, 4.2358e-02, 4.2521e-02,71645
Ash,0.150,0.77393,2526,2527.918, 3.7203e-02, 3.7232e-02,64521
Ash,0.175,0.81212,2200,2180.386, 3.2402e-02, 3.2113e-02,57137
Ash,0.200,0.84593,1754,1781.006, 2.5833e-02, 2.6231e-02,50898
Ash,0.225,0.87605,1433,1456.880, 2.1105e-02, 2.1457e-02,43913
Ash,0.250,0.90204,1160,1179.411, 1.7085e-02, 1.7371e-02,37846
Ash,0.275,0.92444,975,961.753, 1.4360e-02, 1.4165e-02,32110
Ash,0.300,0.94344,681,706.215, 1.0030e-02, 1.0401e-02,26446
Ash,0.325,0.95909,507,522.139, 7.4672e-03, 7.6902e-03,20875
Ash,0.350,0.97145,363,371.703, 5.3463e-03, 5.4745e-03,15903
Ash,0.375,0.98086,225,243.905, 3.3138e-03, 3.5923e-03,11884
Ash,0.400,0.98789,158,166.399, 2.3271e-03, 2.4508e-03,8085
Ash,0.425,0.99268,102,107.861, 1.5023e-03, 1.5886e-03,5329
Ash,0.450,0.99583,64,67.177, 9.4260e-04, 9.8940e-04,3259
Ash,0.475,0.99776,28,34.177, 4.1239e-04, 5.0337e-04,1891
Ash,0.500,0.99888,15,17.867, 2.2092e-04, 2.6315e-04,938
Ash,0.525,0.99943,5,7.696, 7.3641e-05, 1.1335e-04,528
Ash,0.550,0.99975,8,8.791, 1.1783e-04, 1.2948e-04,243
Willo,-0.475,0.00020,6,6.690, 2.0076e-04, 2.2385e-04,271
Willo,-0.450,0.00036,4,5.804, 1.3384e-04, 1.9420e-04,580
Willo,-0.425,0.00070,11,12.848, 3.6807e-04, 4.2990e-04,1141
Willo,-0.400,0.00137,21,24.639, 7.0267e-04, 8.2444e-04,2264
Willo,-0.375,0.00271,40,45.766, 1.3384e-03, 1.5313e-03,4127
Willo,-0.350,0.00516,77,82.968, 2.5765e-03, 2.7762e-03,7011
Willo,-0.325,0.00931,121,134.215, 4.0487e-03, 4.4909e-03,11155
Willo,-0.300,0.01591,211,219.190, 7.0602e-03, 7.3342e-03,16516
Willo,-0.275,0.02568,322,325.658, 1.0774e-02, 1.0897e-02,23856
Willo,-0.250,0.03980,429,440.690, 1.4355e-02, 1.4746e-02,32221
Willo,-0.225,0.05887,584,587.373, 1.9541e-02, 1.9654e-02,41799
Willo,-0.200,0.08361,737,740.354, 2.4660e-02, 2.4773e-02,52324
Willo,-0.175,0.11457,904,903.709, 3.0248e-02, 3.0239e-02,62664
Willo,-0.150,0.15166,1066,1064.791, 3.5669e-02, 3.5628e-02,73334
Willo,-0.125,0.19506,1234,1227.266, 4.1290e-02, 4.1065e-02,82203
Willo,-0.100,0.24371,1353,1361.658, 4.5272e-02, 4.5562e-02,88659
Willo,-0.075,0.29618,1573,1530.582, 5.2633e-02, 5.1214e-02,94456
Willo,-0.050,0.35208,1575,1578.753, 5.2700e-02, 5.2826e-02,97945
Willo,-0.025,0.41004,1670,1649.677, 5.5879e-02, 5.5199e-02,98864
Willo,0.000,0.46855,1674,1661.880, 5.6013e-02, 5.5607e-02,97205
Willo,0.025,0.52608,1633,1641.304, 5.4641e-02, 5.4919e-02,94342
Willo,0.050,0.58191,1668,1642.234, 5.5812e-02, 5.4950e-02,89831
Willo,0.075,0.63508,1600,1576.728, 5.3537e-02, 5.2758e-02,84775
Willo,0.100,0.68525,1451,1456.741, 4.8551e-02, 4.8743e-02,78203
Willo,0.125,0.73153,1343,1349.304, 4.4937e-02, 4.5148e-02,71645
Willo,0.150,0.77393,1261,1255.835, 4.2194e-02, 4.2021e-02,64521
Willo,0.175,0.81212,1140,1146.658, 3.8145e-02, 3.8368e-02,57137
Willo,0.200,0.84593,1062,1057.722, 3.5535e-02, 3.5392e-02,50898
Willo,0.225,0.87605,958,954.354, 3.2055e-02, 3.1933e-02,43913
Willo,0.250,0.90204,853,848.576, 2.8542e-02, 2.8394e-02,37846
Willo,0.275,0.92444,705,724.152, 2.3590e-02, 2.4230e-02,32110
Willo,0.300,0.94344,667,654.146, 2.2318e-02, 2.1888e-02,26446
Willo,0.325,0.95909,543,544.620, 1.8169e-02, 1.8223e-02,20875
Willo,0.350,0.97145,446,445.892, 1.4923e-02, 1.4920e-02,15903
Willo,0.375,0.98086,345,345.013, 1.1544e-02, 1.1544e-02,11884
Willo,0.400,0.98789,237,244.981, 7.9301e-03, 8.1972e-03,8085
Willo,0.425,0.99268,154,164.000, 5.1529e-03, 5.4875e-03,5329
Willo,0.450,0.99583,109,110.038, 3.6472e-03, 3.6819e-03,3259
Willo,0.475,0.99776,44,55.943, 1.4723e-03, 1.8719e-03,1891
Willo,0.500,0.99888,34,35.544, 1.1377e-03, 1.1893e-03,938
Willo,0.525,0.99943,13,16.310, 4.3499e-04, 5.4574e-04,528
Willo,0.550,0.99975,8,11.386, 2.6768e-04, 3.8098e-04,243
Vivian,-0.475,0.00020,1,3.810, 4.9051e-05, 1.8689e-04,271
Vivian,-0.450,0.00036,11,10.449, 5.3956e-04, 5.1255e-04,580
Vivian,-0.425,0.00070,11,15.475, 5.3956e-04, 7.5905e-04,1141
Vivian,-0.400,0.00137,35,34.462, 1.7168e-03, 1.6904e-03,2264
Vivian,-0.375,0.00271,43,50.544, 2.1092e-03, 2.4792e-03,4127
Vivian,-0.350,0.00516,80,86.848, 3.9241e-03, 4.2600e-03,7011
Vivian,-0.325,0.00931,137,141.114, 6.7200e-03, 6.9218e-03,11155
Vivian,-0.300,0.01591,191,202.905, 9.3687e-03, 9.9527e-03,16516
Vivian,-0.275,0.02568,303,299.367, 1.4862e-02, 1.4684e-02,23856
Vivian,-0.250,0.03980,373,382.741, 1.8296e-02, 1.8774e-02,32221
Vivian,-0.225,0.05887,492,494.899, 2.4133e-02, 2.4275e-02,41799
Vivian,-0.200,0.08361,608,608.930, 2.9823e-02, 2.9869e-02,52324
Vivian,-0.175,0.11457,744,731.924, 3.6494e-02, 3.5902e-02,62664
Vivian,-0.150,0.15166,807,819.829, 3.9584e-02, 4.0213e-02,73334
Vivian,-0.125,0.19506,948,946.570, 4.6500e-02, 4.6430e-02,82203
Vivian,-0.100,0.24371,1051,1055.114, 5.1552e-02, 5.1754e-02,88659
Vivian,-0.075,0.29618,1229,1185.994, 6.0284e-02, 5.8174e-02,94456
Vivian,-0.050,0.35208,1206,1200.342, 5.9155e-02, 5.8878e-02,97945
Vivian,-0.025,0.41004,1220,1210.285, 5.9842e-02, 5.9366e-02,98864
Vivian,0.000,0.46855,1196,1188.089, 5.8665e-02, 5.8277e-02,97205
Vivian,0.025,0.52608,1150,1146.222, 5.6408e-02, 5.6223e-02,94342
Vivian,0.050,0.58191,1102,1096.203, 5.4054e-02, 5.3770e-02,89831
Vivian,0.075,0.63508,1025,1027.589, 5.0277e-02, 5.0404e-02,84775
Vivian,0.100,0.68525,977,965.051, 4.7923e-02, 4.7337e-02,78203
Vivian,0.125,0.73153,896,878.006, 4.3950e-02, 4.3067e-02,71645
Vivian,0.150,0.77393,715,741.019, 3.5071e-02, 3.6348e-02,64521
Vivian,0.175,0.81212,672,673.582, 3.2962e-02, 3.3040e-02,57137
Vivian,0.200,0.84593,607,602.608, 2.9774e-02, 2.9558e-02,50898
Vivian,0.225,0.87605,524,525.342, 2.5703e-02, 2.5768e-02,43913
Vivian,0.250,0.90204,449,452.013, 2.2024e-02, 2.2172e-02,37846
Vivian,0.275,0.92444,384,385.525, 1.8836e-02, 1.8910e-02,32110
Vivian,0.300,0.94344,321,323.019, 1.5745e-02, 1.5844e-02,26446
Vivian,0.325,0.95909,262,265.000, 1.2851e-02, 1.2998e-02,20875
Vivian,0.350,0.97145,218,215.810, 1.0693e-02, 1.0586e-02,15903
Vivian,0.375,0.98086,157,159.975, 7.7010e-03, 7.8469e-03,11884
Vivian,0.400,0.98789,113,114.209, 5.5427e-03, 5.6020e-03,8085
Vivian,0.425,0.99268,62,69.108, 3.0412e-03, 3.3898e-03,5329
Vivian,0.450,0.99583,43,43.949, 2.1092e-03, 2.1558e-03,3259
Vivian,0.475,0.99776,15,19.582, 7.3576e-04, 9.6053e-04,1891
Vivian,0.500,0.99888,5,8.063, 2.4525e-04, 3.9551e-04,938
Vivian,0.525,0.99943,3,3.690, 1.4715e-04, 1.8099e-04,528
Vivian,0.550,0.99975,1,1.747, 4.9051e-05, 8.5684e-05,243
Viktor,-0.475,0.00020,41,49.589, 6.7323e-04, 8.1427e-04,271
Viktor,-0.450,0.00036,40,51.652, 6.5681e-04, 8.4815e-04,580
Viktor,-0.425,0.00070,91,105.259, 1.4943e-03, 1.7284e-03,1141
Viktor,-0.400,0.00137,186,196.791, 3.0542e-03, 3.2314e-03,2264
Viktor,-0.375,0.00271,294,317.475, 4.8276e-03, 5.2131e-03,4127
Viktor,-0.350,0.00516,463,496.652, 7.6026e-03, 8.1552e-03,7011
Viktor,-0.325,0.00931,746,762.835, 1.2250e-02, 1.2526e-02,11155
Viktor,-0.300,0.01591,1045,1066.538, 1.7159e-02, 1.7513e-02,16516
Viktor,-0.275,0.02568,1432,1435.418, 2.3514e-02, 2.3570e-02,23856
Viktor,-0.250,0.03980,1774,1803.854, 2.9130e-02, 2.9620e-02,32221
Viktor,-0.225,0.05887,2263,2257.177, 3.7159e-02, 3.7064e-02,41799
Viktor,-0.200,0.08361,2681,2682.424, 4.4023e-02, 4.4047e-02,52324
Viktor,-0.175,0.11457,3155,3121.228, 5.1806e-02, 5.1252e-02,62664
Viktor,-0.150,0.15166,3493,3464.392, 5.7356e-02, 5.6887e-02,73334
Viktor,-0.125,0.19506,3795,3739.601, 6.2315e-02, 6.1406e-02,82203
Viktor,-0.100,0.24371,3936,3876.835, 6.4631e-02, 6.3659e-02,88659
Viktor,-0.075,0.29618,3875,3857.291, 6.3629e-02, 6.3338e-02,94456
Viktor,-0.050,0.35208,3856,3808.532, 6.3317e-02, 6.2538e-02,97945
Viktor,-0.025,0.41004,3593,3617.228, 5.8998e-02, 5.9396e-02,98864
Viktor,0.000,0.46855,3515,3484.646, 5.7718e-02, 5.7219e-02,97205
Viktor,0.025,0.52608,3385,3286.943, 5.5583e-02, 5.3973e-02,94342
Viktor,0.050,0.58191,2786,2832.570, 4.5747e-02, 4.6512e-02,89831
Viktor,0.075,0.63508,2503,2515.658, 4.1100e-02, 4.1308e-02,84775
Viktor,0.100,0.68525,2193,2199.785, 3.6010e-02, 3.6121e-02,78203
Viktor,0.125,0.73153,1929,1919.753, 3.1675e-02, 3.1523e-02,71645
Viktor,0.150,0.77393,1567,1602.709, 2.5731e-02, 2.6317e-02,64521
Viktor,0.175,0.81212,1417,1396.247, 2.3268e-02, 2.2927e-02,57137
Viktor,0.200,0.84593,1075,1115.013, 1.7652e-02, 1.8309e-02,50898
Viktor,0.225,0.87605,961,955.304, 1.5780e-02, 1.5686e-02,43913
Viktor,0.250,0.90204,754,764.032, 1.2381e-02, 1.2546e-02,37846
Viktor,0.275,0.92444,615,611.766, 1.0099e-02, 1.0045e-02,32110
Viktor,0.300,0.94344,435,447.551, 7.1429e-03, 7.3490e-03,26446
Viktor,0.325,0.95909,300,318.563, 4.9261e-03, 5.2309e-03,20875
Viktor,0.350,0.97145,216,230.582, 3.5468e-03, 3.7863e-03,15903
Viktor,0.375,0.98086,192,183.810, 3.1527e-03, 3.0182e-03,11884
Viktor,0.400,0.98789,103,113.994, 1.6913e-03, 1.8718e-03,8085
Viktor,0.425,0.99268,73,77.880, 1.1987e-03, 1.2788e-03,5329
Viktor,0.450,0.99583,43,48.930, 7.0608e-04, 8.0346e-04,3259
Viktor,0.475,0.99776,39,37.519, 6.4039e-04, 6.1608e-04,1891
Viktor,0.500,0.99888,21,22.032, 3.4483e-04, 3.6177e-04,938
Viktor,0.525,0.99943,7,10.184, 1.1494e-04, 1.6722e-04,528
Viktor,0.550,0.99975,12,13.570, 1.9704e-04, 2.2282e-04,243
Tyra,-0.475,0.00020,9,12.196, 1.4529e-04, 1.9689e-04,271
Tyra,-0.450,0.00036,13,15.095, 2.0987e-04, 2.4369e-04,580
Tyra,-0.425,0.00070,29,30.576, 4.6816e-04, 4.9361e-04,1141
Tyra,-0.400,0.00137,41,51.253, 6.6189e-04, 8.2741e-04,2264
Tyra,-0.375,0.00271,80,97.487, 1.2915e-03, 1.5738e-03,4127
Tyra,-0.350,0.00516,177,188.386, 2.8574e-03, 3.0412e-03,7011
Tyra,-0.325,0.00931,294,308.494, 4.7462e-03, 4.9802e-03,11155
Tyra,-0.300,0.01591,446,466.823, 7.2001e-03, 7.5362e-03,16516
Tyra,-0.275,0.02568,660,678.506, 1.0655e-02, 1.0954e-02,23856
Tyra,-0.250,0.03980,921,939.323, 1.4868e-02, 1.5164e-02,32221
Tyra,-0.225,0.05887,1214,1242.025, 1.9598e-02, 2.0051e-02,41799
Tyra,-0.200,0.08361,1623,1619.392, 2.6201e-02, 2.6143e-02,52324
Tyra,-0.175,0.11457,1987,1988.468, 3.2077e-02, 3.2101e-02,62664
Tyra,-0.150,0.15166,2338,2357.475, 3.7744e-02, 3.8058e-02,73334
Tyra,-0.125,0.19506,2812,2781.519, 4.5396e-02, 4.4904e-02,82203
Tyra,-0.100,0.24371,3129,3115.854, 5.0513e-02, 5.0301e-02,88659
Tyra,-0.075,0.29618,3471,3430.044, 5.6034e-02, 5.5374e-02,94456
Tyra,-0.050,0.35208,3653,3624.013, 5.8973e-02, 5.8505e-02,97945
Tyra,-0.025,0.41004,3830,3758.184, 6.1830e-02, 6.0671e-02,98864
Tyra,0.000,0.46855,3733,3712.462, 6.0264e-02, 5.9933e-02,97205
Tyra,0.025,0.52608,3566,3603.285, 5.7568e-02, 5.8170e-02,94342
Tyra,0.050,0.58191,3648,3585.234, 5.8892e-02, 5.7879e-02,89831
Tyra,0.075,0.63508,3470,3410.076, 5.6018e-02, 5.5051e-02,84775
Tyra,0.100,0.68525,3046,3084.785, 4.9173e-02, 4.9800e-02,78203
Tyra,0.125,0.73153,2885,2869.684, 4.6574e-02, 4.6327e-02,71645
Tyra,0.150,0.77393,2571,2589.222, 4.1505e-02, 4.1800e-02,64521
Tyra,0.175,0.81212,2378,2366.778, 3.8390e-02, 3.8209e-02,57137
Tyra,0.200,0.84593,2138,2113.063, 3.4515e-02, 3.4113e-02,50898
Tyra,0.225,0.87605,1795,1802.000, 2.8978e-02, 2.9091e-02,43913
Tyra,0.250,0.90204,1485,1506.266, 2.3973e-02, 2.4317e-02,37846
Tyra,0.275,0.92444,1271,1263.747, 2.0519e-02, 2.0402e-02,32110
Tyra,0.300,0.94344,993,1001.076, 1.6031e-02, 1.6161e-02,26446
Tyra,0.325,0.95909,744,763.127, 1.2011e-02, 1.2320e-02,20875
Tyra,0.350,0.97145,562,571.190, 9.0727e-03, 9.2211e-03,15903
Tyra,0.375,0.98086,399,404.285, 6.4413e-03, 6.5266e-03,11884
Tyra,0.400,0.98789,229,250.968, 3.6969e-03, 4.0516e-03,8085
Tyra,0.425,0.99268,141,154.804, 2.2762e-03, 2.4991e-03,5329
Tyra,0.450,0.99583,84,91.278, 1.3561e-03, 1.4736e-03,3259
Tyra,0.475,0.99776,41,48.114, 6.6189e-04, 7.7674e-04,1891
Tyra,0.500,0.99888,17,23.247, 2.7444e-04, 3.7529e-04,938
Tyra,0.525,0.99943,15,14.892, 2.4215e-04, 2.4042e-04,528
Tyra,0.550,0.99975,6,9.057, 9.6862e-05, 1.4621e-04,243
Strix,-0.475,0.00020,41,43.627, 2.4900e-03, 2.6496e-03,271
Strix,-0.450,0.00036,24,30.930, 1.4575e-03, 1.8785e-03,580
Strix,-0.425,0.00070,48,57.399, 2.9151e-03, 3.4860e-03,1141
Strix,-0.400,0.00137,108,109.108, 6.5590e-03, 6.6265e-03,2264
Strix,-0.375,0.00271,151,160.665, 9.1704e-03, 9.7578e-03,4127
Strix,-0.350,0.00516,242,240.747, 1.4697e-02, 1.4621e-02,7011
Strix,-0.325,0.00931,310,316.430, 1.8827e-02, 1.9218e-02,11155
Strix,-0.300,0.01591,397,408.943, 2.4110e-02, 2.4837e-02,16516
Strix,-0.275,0.02568,530,529.468, 3.2188e-02, 3.2157e-02,23856
Strix,-0.250,0.03980,660,649.234, 4.0083e-02, 3.9430e-02,32221
Strix,-0.225,0.05887,746,744.570, 4.5305e-02, 4.5221e-02,41799
Strix,-0.200,0.08361,826,831.823, 5.0164e-02, 5.0520e-02,52324
Strix,-0.175,0.11457,965,940.203, 5.8606e-02, 5.7102e-02,62664
Strix,-0.150,0.15166,965,971.722, 5.8606e-02, 5.9016e-02,73334
Strix,-0.125,0.19506,1078,1038.399, 6.5468e-02, 6.3066e-02,82203
Strix,-0.100,0.24371,980,991.373, 5.9517e-02, 6.0210e-02,88659
Strix,-0.075,0.29618,978,978.247, 5.9395e-02, 5.9413e-02,94456
Strix,-0.050,0.35208,997,963.652, 6.0549e-02, 5.8526e-02,97945
Strix,-0.025,0.41004,856,861.475, 5.1986e-02, 5.2321e-02,98864
Strix,0.000,0.46855,786,785.614, 4.7735e-02, 4.7713e-02,97205
Strix,0.025,0.52608,671,692.614, 4.0751e-02, 4.2065e-02,94342
Strix,0.050,0.58191,681,661.620, 4.1358e-02, 4.0183e-02,89831
Strix,0.075,0.63508,585,578.608, 3.5528e-02, 3.5141e-02,84775
Strix,0.100,0.68525,468,483.329, 2.8422e-02, 2.9354e-02,78203
Strix,0.125,0.73153,428,426.190, 2.5993e-02, 2.5884e-02,71645
Strix,0.150,0.77393,362,361.430, 2.1985e-02, 2.1951e-02,64521
Strix,0.175,0.81212,291,297.734, 1.7673e-02, 1.8083e-02,57137
Strix,0.200,0.84593,249,251.994, 1.5122e-02, 1.5305e-02,50898
Strix,0.225,0.87605,205,210.842, 1.2450e-02, 1.2805e-02,43913
Strix,0.250,0.90204,190,187.152, 1.1539e-02, 1.1366e-02,37846
Strix,0.275,0.92444,151,153.500, 9.1704e-03, 9.3226e-03,32110
Strix,0.300,0.94344,135,130.342, 8.1987e-03, 7.9161e-03,26446
Strix,0.325,0.95909,87,93.165, 5.2836e-03, 5.6582e-03,20875
Strix,0.350,0.97145,68,72.449, 4.1297e-03, 4.4001e-03,15903
Strix,0.375,0.98086,65,62.519, 3.9475e-03, 3.7970e-03,11884
Strix,0.400,0.98789,42,45.323, 2.5507e-03, 2.7526e-03,8085
Strix,0.425,0.99268,40,38.532, 2.4292e-03, 2.3402e-03,5329
Strix,0.450,0.99583,27,26.905, 1.6397e-03, 1.6340e-03,3259
Strix,0.475,0.99776,14,15.905, 8.5024e-04, 9.6597e-04,1891
Strix,0.500,0.99888,8,9.373, 4.8585e-04, 5.6928e-04,938
Strix,0.525,0.99943,6,6.127, 3.6439e-04, 3.7209e-04,528
Strix,0.550,0.99975,5,6.032, 3.0366e-04, 3.6632e-04,243
Sha Lin,-0.475,0.00020,25,29.753, 9.9065e-04, 1.1790e-03,271
Sha Lin,-0.450,0.00036,23,27.057, 9.1140e-04, 1.0722e-03,580
Sha Lin,-0.425,0.00070,42,51.234, 1.6643e-03, 2.0302e-03,1141
Sha Lin,-0.400,0.00137,96,101.753, 3.8041e-03, 4.0322e-03,2264
Sha Lin,-0.375,0.00271,146,160.570, 5.7854e-03, 6.3629e-03,4127
Sha Lin,-0.350,0.00516,276,264.766, 1.0937e-02, 1.0492e-02,7011
Sha Lin,-0.325,0.00931,317,338.070, 1.2561e-02, 1.3397e-02,11155
Sha Lin,-0.300,0.01591,435,461.684, 1.7237e-02, 1.8295e-02,16516
Sha Lin,-0.275,0.02568,683,657.722, 2.7065e-02, 2.6063e-02,23856
Sha Lin,-0.250,0.03980,767,781.285, 3.0393e-02, 3.0960e-02,32221
Sha Lin,-0.225,0.05887,956,951.146, 3.7882e-02, 3.7691e-02,41799
Sha Lin,-0.200,0.08361,1120,1105.430, 4.4381e-02, 4.3805e-02,52324
Sha Lin,-0.175,0.11457,1206,1217.323, 4.7789e-02, 4.8239e-02,62664
Sha Lin,-0.150,0.15166,1394,1364.335, 5.5239e-02, 5.4064e-02,73334
Sha Lin,-0.125,0.19506,1447,1429.070, 5.7339e-02, 5.6629e-02,82203
Sha Lin,-0.100,0.24371,1466,1456.076, 5.8092e-02, 5.7700e-02,88659
Sha Lin,-0.075,0.29618,1461,1455.778, 5.7893e-02, 5.7688e-02,94456
Sha Lin,-0.050,0.35208,1437,1435.367, 5.6942e-02, 5.6879e-02,97945
Sha Lin,-0.025,0.41004,1446,1417.354, 5.7299e-02, 5.6165e-02,98864
Sha Lin,0.000,0.46855,1315,1319.367, 5.2108e-02, 5.2282e-02,97205
Sha Lin,0.025,0.52608,1253,1242.532, 4.9651e-02, 4.9238e-02,94342
Sha Lin,0.050,0.58191,1124,1131.310, 4.4540e-02, 4.4830e-02,89831
Sha Lin,0.075,0.63508,1031,1036.646, 4.0854e-02, 4.1079e-02,84775
Sha Lin,0.100,0.68525,987,960.519, 3.9111e-02, 3.8062e-02,78203
Sha Lin,0.125,0.73153,805,813.418, 3.1899e-02, 3.2233e-02,71645
Sha Lin,0.150,0.77393,691,697.911, 2.7382e-02, 2.7656e-02,64521
