Map,Champion,Winrate|% Games Won,Count
Fish Market,Grover,0.4932,4177
Fish Market,Imani,0.4481,1656
Fish Market,Inara,0.5086,19714
Fish Market,Io,0.5794,8553
Fish Market,Jenos,0.5186,17396
Fish Market,Khan,0.5225,18272
Fish Market,Kinessa,0.4000,3800
Fish Market,Koga,0.4606,2853
Fish Market,Lex,0.4188,2538
Fish Market,Lian,0.4854,11904
Fish Market,Maeve,0.5170,10107
Fish Market,Makoa,0.5114,10187
Fish Market,Mal'Damba,0.4256,6464
Fish Market,Moji,0.5180,3492
Fish Market,Pip,0.4774,3444
Fish Market,Ruckus,0.4433,5461
Fish Market,Seris,0.4591,13545
Fish Market,Sha Lin,0.4261,1589
Fish Market,Skye,0.4749,5473
Fish Market,Strix,0.4709,8723
Fish Market,Talus,0.5073,3633
Fish Market,Terminus,0.5198,5346
Fish Market,Torvald,0.5025,4543
Fish Market,Tyra,0.5228,12181
Fish Market,Viktor,0.4868,9914
Fish Market,Vivian,0.5356,6811
Fish Market,Willo,0.5633,7460
Fish Market,Ying,0.4924,5368
Fish Market,Zhin,0.5277,10237
Frozen Guard,Androxus,0.4238,2572
Frozen Guard,Ash,0.5142,10375
Frozen Guard,Atlas,0.4819,4592
Frozen Guard,Barik,0.5215,13758
Frozen Guard,Bomb King,0.5169,5777
Frozen Guard,Buck,0.5048,1452
Frozen Guard,Cassie,0.4651,6110
Frozen Guard,Dredge,0.4962,3309
Frozen Guard,Drogoz,0.4692,3007
Frozen Guard,Evie,0.4875,3434
Frozen Guard,Fernando,0.4957,6107
Frozen Guard,Furia,0.5193,5956
Frozen Guard,Grohk,0.5045,2652
Frozen Guard,Grover,0.4947,3394
Frozen Guard,Imani,0.4336,1167
Frozen Guard,Inara,0.5063,14202
Frozen Guard,Io,0.5477,5596
Frozen Guard,Jenos,0.5333,11601
Frozen Guard,Khan,0.5047,12605
Frozen Guard,Kinessa,0.4002,1614
Frozen Guard,Koga,0.4260,2021
Frozen Guard,Lex,0.3760,1811
Frozen Guard,Lian,0.4559,7651
Frozen Guard,Maeve,0.5027,6375
Frozen Guard,Makoa,0.5156,6688
Frozen Guard,Mal'Damba,0.4267,4535
Frozen Guard,Moji,0.5533,2729
Frozen Guard,Pip,0.4899,2123
Frozen Guard,Ruckus,0.4359,3636
Frozen Guard,Seris,0.4650,9423
Frozen Guard,Sha Lin,0.4200,1212
Frozen Guard,Skye,0.4808,4002
Frozen Guard,Strix,0.4595,3730
Frozen Guard,Talus,0.4870,2622
Frozen Guard,Terminus,0.5378,4316
Frozen Guard,Torvald,0.5065,2782
Frozen Guard,Tyra,0.5356,9675
Frozen Guard,Viktor,0.4760,6529
Frozen Guard,Vivian,0.5396,4896
Frozen Guard,Willo,0.5578,4943
Frozen Guard,Ying,0.4973,3575
Frozen Guard,Zhin,0.5432,7546
Jaguar Falls,Androxus,0.4310,4664
Jaguar Falls,Ash,0.5220,16478
Jaguar Falls,Atlas,0.4682,6913
Jaguar Falls,Barik,0.5196,21254
Jaguar Falls,Bomb King,0.5326,10692
Jaguar Falls,Buck,0.4854,2050
Jaguar Falls,Cassie,0.4630,9255
Jaguar Falls,Dredge,0.5182,5782
Jaguar Falls,Drogoz,0.5273,8138
Jaguar Falls,Evie,0.4763,5003
Jaguar Falls,Fernando,0.4839,9280
Jaguar Falls,Furia,0.5043,9510
Jaguar Falls,Grohk,0.5005,4434
Jaguar Falls,Grover,0.5078,6056
Jaguar Falls,Imani,0.4058,1826
Jaguar Falls,Inara,0.5268,22435
