division,name,role,skill_level,patch,legendary,avg_dps,sd_dps,avg_sps,sd_sps,avg_hps,sd_hps,avg_kpm,sd_kpm,avg_slayspm,sd_slayspm,avg_xpm,sd_xpm,avg_cpm,sd_cpm,wins,count,champ_count
Keyboard/Mouse Ranked,Grohk,Support,2100+,V2.07,Maelstrom,110.69,31.97,0.75,1.72,26.86,13.38,2.02,0.83,0.64,0.36,0.62,0.27,243.77,53.86,636,1141,1818
Keyboard/Mouse Ranked,Grohk,Support,2500+,V2.07,Maelstrom,110.94,28.32,0.51,1.43,27.30,11.85,1.88,0.76,0.58,0.33,0.64,0.26,235.01,49.07,141,282,333
Keyboard/Mouse Ranked,Grohk,Support,2700+,V2.07,Maelstrom,110.56,25.85,0.14,0.87,28.98,11.16,1.86,0.70,0.56,0.29,0.64,0.24,233.48,41.36,61,129,136
Keyboard/Mouse Ranked,Grohk,Support,3000+,V2.07,Maelstrom,109.25,19.03,0.00,0.00,31.50,11.29,1.87,0.66,0.48,0.23,0.65,0.22,240.77,33.28,6,14,15
Keyboard/Mouse Ranked,Grohk,Support,Everyone,V2.06,Maelstrom,106.85,32.49,0.81,1.83,25.51,13.04,1.99,0.87,0.63,0.37,0.62,0.28,240.95,56.08,13280,24529,57023
Keyboard/Mouse Ranked,Grohk,Support,2100+,V2.06,Maelstrom,108.68,31.31,0.78,1.80,25.77,12.58,1.97,0.85,0.62,0.35,0.63,0.28,240.74,54.56,8395,15675,27060
Keyboard/Mouse Ranked,Grohk,Support,2500+,V2.06,Maelstrom,108.77,30.07,0.70,1.72,26.88,12.09,1.86,0.80,0.56,0.32,0.63,0.26,236.58,52.77,1799,3521,4721
Keyboard/Mouse Ranked,Grohk,Support,2700+,V2.06,Maelstrom,109.18,29.57,0.67,1.73,28.38,12.23,1.83,0.79,0.54,0.31,0.61,0.26,237.68,53.02,622,1210,1461
Keyboard/Mouse Ranked,Grohk,Support,3000+,V2.06,Maelstrom,110.82,31.51,0.40,1.45,29.55,11.84,1.68,0.78,0.51,0.31,0.62,0.24,236.82,51.53,85,181,207
Keyboard/Mouse Ranked,Grohk,Support,Everyone,V2.05,Maelstrom,109.27,32.13,0.79,1.75,26.82,13.42,2.01,0.87,0.64,0.37,0.61,0.28,241.29,55.05,17303,31514,62221
Keyboard/Mouse Ranked,Grohk,Support,2100+,V2.05,Maelstrom,111.07,30.92,0.78,1.73,27.14,12.88,1.99,0.85,0.62,0.35,0.62,0.27,240.60,53.52,11604,21417,33157
Keyboard/Mouse Ranked,Grohk,Support,2500+,V2.05,Maelstrom,111.55,29.72,0.76,1.74,28.14,12.15,1.87,0.80,0.56,0.32,0.63,0.27,236.15,51.87,2906,5684,7188
Keyboard/Mouse Ranked,Grohk,Support,2700+,V2.05,Maelstrom,110.19,29.38,0.71,1.67,28.67,12.10,1.79,0.77,0.52,0.30,0.63,0.26,232.61,51.02,1067,2173,2613
Keyboard/Mouse Ranked,Grohk,Support,3000+,V2.05,Maelstrom,112.31,32.51,0.47,1.42,29.62,12.45,1.73,0.75,0.48,0.28,0.64,0.27,231.90,53.53,145,302,336
Keyboard/Mouse Ranked,Grohk,Support,Everyone,V2.04,Maelstrom,111.97,31.49,0.74,1.67,28.03,13.46,2.02,0.84,0.63,0.35,0.61,0.27,241.84,53.31,11102,20409,41464
Keyboard/Mouse Ranked,Grohk,Support,2100+,V2.04,Maelstrom,114.02,30.57,0.72,1.65,28.19,12.67,2.00,0.82,0.62,0.34,0.62,0.27,241.16,51.79,8044,15082,24754
Keyboard/Mouse Ranked,Grohk,Support,2500+,V2.04,Maelstrom,113.28,29.18,0.66,1.59,29.04,12.01,1.90,0.78,0.57,0.32,0.63,0.26,238.17,50.23,2603,5040,6756
Keyboard/Mouse Ranked,Grohk,Support,2700+,V2.04,Maelstrom,110.70,28.94,0.56,1.46,29.60,12.08,1.80,0.74,0.52,0.30,0.63,0.26,234.22,49.17,962,1965,2523
Keyboard/Mouse Ranked,Grohk,Support,3000+,V2.04,Maelstrom,107.94,29.52,0.34,1.11,30.07,12.89,1.68,0.67,0.46,0.26,0.63,0.27,230.19,48.43,115,248,301
Keyboard/Mouse Ranked,Grohk,Support,Everyone,V2.03,Maelstrom,115.37,32.97,0.69,1.63,29.33,14.93,2.06,0.86,0.64,0.36,0.59,0.27,244.78,54.18,17035,31013,67067
Keyboard/Mouse Ranked,Grohk,Support,2100+,V2.03,Maelstrom,117.64,31.96,0.68,1.62,29.48,13.89,2.04,0.84,0.63,0.35,0.60,0.27,244.82,52.89,12714,23351,41630
Keyboard/Mouse Ranked,Grohk,Support,2500+,V2.03,Maelstrom,119.02,31.27,0.68,1.66,30.18,12.77,1.98,0.81,0.59,0.33,0.60,0.27,243.24,51.91,4607,8722,13087
Keyboard/Mouse Ranked,Grohk,Support,2700+,V2.03,Maelstrom,119.17,31.21,0.60,1.54,30.74,12.56,1.93,0.81,0.57,0.33,0.60,0.26,241.28,51.50,2151,4177,5845
Keyboard/Mouse Ranked,Grohk,Support,3000+,V2.03,Maelstrom,120.45,30.41,0.44,1.22,31.27,11.67,1.83,0.78,0.53,0.32,0.59,0.26,237.81,50.71,376,755,940
Keyboard/Mouse Ranked,Grohk,Support,Everyone,V2.02,Maelstrom,115.89,34.02,0.70,1.67,29.61,14.97,2.05,0.87,0.64,0.36,0.59,0.27,245.10,55.40,23068,42124,93294
Keyboard/Mouse Ranked,Grohk,Support,2100+,V2.02,Maelstrom,118.92,32.96,0.67,1.64,29.69,13.93,2.04,0.85,0.62,0.35,0.60,0.27,245.44,53.91,16881,31255,57279
Keyboard/Mouse Ranked,Grohk,Support,2500+,V2.02,Maelstrom,120.07,31.67,0.64,1.55,30.63,13.56,1.98,0.82,0.59,0.33,0.61,0.26,243.85,52.42,5638,10779,17231
Keyboard/Mouse Ranked,Grohk,Support,2700+,V2.02,Maelstrom,119.54,31.21,0.58,1.46,31.33,13.69,1.92,0.79,0.56,0.32,0.61,0.26,241.94,51.64,2404,4698,7160
Keyboard/Mouse Ranked,Grohk,Support,3000+,V2.02,Maelstrom,118.03,30.60,0.36,1.09,31.36,12.54,1.81,0.75,0.51,0.29,0.61,0.26,236.76,51.14,359,725,991
PS4 Ranked,Grohk,Support,3000+,V2.02,Maelstrom,111.59,33.11,0.22,0.85,37.28,15.80,1.89,0.76,0.54,0.31,0.56,0.26,244.75,51.72,90,144,703
PS4 Ranked,Grohk,Support,2700+,V2.02,Maelstrom,106.50,32.36,0.40,1.23,35.94,19.53,1.90,0.78,0.57,0.32,0.60,0.26,239.35,50.81,584,1130,6541
PS4 Ranked,Grohk,Support,2500+,V2.02,Maelstrom,101.40,31.56,0.57,1.51,35.56,20.60,1.91,0.79,0.57,0.32,0.64,0.27,237.50,51.00,1085,2184,13882
PS4 Ranked,Grohk,Support,2100+,V2.02,Maelstrom,94.97,30.71,0.68,1.71,34.51,21.32,1.95,0.81,0.60,0.34,0.66,0.28,239.00,53.57,2818,5479,30902
PS4 Ranked,Grohk,Support,Everyone,V2.02,Maelstrom,91.44,31.03,0.66,1.69,33.74,21.20,1.96,0.83,0.61,0.35,0.66,0.28,239.23,55.71,3713,7087,40774
PS4 Ranked,Grohk,Support,3000+,V2.03,Maelstrom,117.20,31.29,0.59,1.83,37.68,15.25,1.84,0.75,0.52,0.30,0.57,0.24,239.79,47.49,213,413,965
PS4 Ranked,Grohk,Support,2700+,V2.03,Maelstrom,116.65,33.18,0.82,2.11,35.41,16.91,1.93,0.77,0.59,0.33,0.59,0.25,243.24,49.53,908,1811,6419
PS4 Ranked,Grohk,Support,2500+,V2.03,Maelstrom,112.99,34.02,0.86,2.14,34.69,18.26,1.98,0.81,0.62,0.35,0.60,0.26,244.40,51.54,1603,3109,12716
PS4 Ranked,Grohk,Support,2100+,V2.03,Maelstrom,104.36,34.46,0.81,2.00,34.36,20.17,2.02,0.84,0.63,0.36,0.63,0.28,244.40,54.42,3380,6357,29481
PS4 Ranked,Grohk,Support,Everyone,V2.03,Maelstrom,99.58,35.33,0.77,1.92,33.83,20.41,2.00,0.85,0.63,0.37,0.63,0.28,243.78,55.81,4227,7869,38403
PS4 Ranked,Grohk,Support,3000+,V2.04,Maelstrom,112.98,29.31,0.45,1.43,34.93,14.20,1.78,0.65,0.52,0.26,0.56,0.27,236.93,40.93,58,120,295
PS4 Ranked,Grohk,Support,2700+,V2.04,Maelstrom,108.80,29.86,0.79,1.97,32.65,13.91,1.88,0.74,0.55,0.31,0.62,0.27,239.25,48.44,363,706,2292
PS4 Ranked,Grohk,Support,2500+,V2.04,Maelstrom,106.57,30.62,0.86,2.05,31.35,14.46,1.94,0.78,0.59,0.33,0.64,0.27,239.51,50.56,743,1473,5292
PS4 Ranked,Grohk,Support,2100+,V2.04,Maelstrom,100.10,31.35,0.92,2.06,31.24,16.50,1.97,0.83,0.62,0.36,0.65,0.28,240.26,53.61,1865,3623,15195
PS4 Ranked,Grohk,Support,Everyone,V2.04,Maelstrom,95.72,32.27,0.91,2.03,30.56,17.06,1.97,0.85,0.64,0.38,0.66,0.28,240.33,55.85,2548,4872,21629
PS4 Ranked,Grohk,Support,3000+,V2.05,Maelstrom,110.66,29.36,0.73,1.81,33.27,12.10,1.80,0.74,0.48,0.25,0.57,0.25,234.05,47.15,65,114,198
PS4 Ranked,Grohk,Support,2700+,V2.05,Maelstrom,110.29,31.40,0.85,2.01,32.07,14.55,1.82,0.75,0.55,0.32,0.61,0.26,234.69,49.93,490,980,1885
PS4 Ranked,Grohk,Support,2500+,V2.05,Maelstrom,107.30,30.21,0.86,2.08,30.25,14.84,1.88,0.79,0.58,0.33,0.64,0.27,236.02,50.58,1290,2533,5188
PS4 Ranked,Grohk,Support,2100+,V2.05,Maelstrom,99.51,31.31,0.92,2.09,28.86,16.20,1.95,0.83,0.62,0.35,0.66,0.28,237.65,53.34,4030,7731,22246
PS4 Ranked,Grohk,Support,Everyone,V2.05,Maelstrom,93.98,32.38,0.91,2.07,28.27,16.53,1.94,0.85,0.62,0.36,0.67,0.29,237.14,55.91,5702,10822,39241
PS4 Ranked,Grohk,Support,3000+,V2.06,Maelstrom,118.28,35.05,0.52,1.39,35.02,14.02,1.87,0.72,0.54,0.28,0.57,0.26,245.45,51.41,59,100,141
PS4 Ranked,Grohk,Support,2700+,V2.06,Maelstrom,112.51,31.39,0.61,1.66,30.81,13.55,1.88,0.75,0.58,0.30,0.62,0.27,241.83,50.75,623,1182,1752
PS4 Ranked,Grohk,Support,2500+,V2.06,Maelstrom,107.74,30.65,0.69,1.78,29.23,14.17,1.92,0.78,0.60,0.32,0.64,0.27,240.84,51.78,1592,2987,5007
PS4 Ranked,Grohk,Support,2100+,V2.06,Maelstrom,100.40,31.06,0.75,1.83,27.76,15.75,1.96,0.83,0.63,0.36,0.65,0.28,241.58,54.82,5493,10133,23964
PS4 Ranked,Grohk,Support,Everyone,V2.06,Maelstrom,95.73,31.99,0.77,1.84,27.18,16.23,1.95,0.85,0.64,0.36,0.66,0.29,240.84,57.01,7564,13918,43510
Crossplatform Casual,Grohk,Support,Everyone,V2.07,Maelstrom,80.92,32.86,0.58,1.58,18.85,12.34,1.84,0.87,0.62,0.39,0.65,0.29,224.86,60.89,6395,11739,75227
Crossplatform Casual,Grohk,Support,2100+,V2.07,Maelstrom,87.67,31.47,0.63,1.61,19.69,11.89,1.90,0.86,0.62,0.38,0.64,0.29,229.59,57.68,3939,7198,19559
Crossplatform Casual,Grohk,Support,2500+,V2.07,Maelstrom,91.01,31.42,0.63,1.63,20.12,11.41,1.83,0.84,0.57,0.35,0.64,0.28,227.07,54.91,1125,2124,3504
Crossplatform Casual,Grohk,Support,2700+,V2.07,Maelstrom,91.24,30.57,0.63,1.61,20.65,10.85,1.77,0.80,0.54,0.33,0.65,0.27,224.29,53.04,446,852,1193
Crossplatform Casual,Grohk,Support,3000+,V2.07,Maelstrom,90.86,30.89,0.52,1.47,21.54,11.14,1.72,0.85,0.53,0.33,0.65,0.26,222.93,52.56,60,124,150
Crossplatform Casual,Grohk,Support,Everyone,V2.06,Maelstrom,82.09,31.36,0.64,1.63,19.11,12.33,1.84,0.84,0.61,0.38,0.64,0.28,225.69,58.56,73696,135524,463669
Crossplatform Casual,Grohk,Support,2100+,V2.06,Maelstrom,85.05,30.89,0.65,1.64,19.55,12.21,1.86,0.84,0.61,0.37,0.64,0.28,227.65,57.25,60180,111052,286061
Crossplatform Casual,Grohk,Support,2500+,V2.06,Maelstrom,88.22,30.77,0.62,1.59,20.04,11.88,1.82,0.82,0.58,0.35,0.64,0.28,227.44,55.59,24579,46420,87774
Crossplatform Casual,Grohk,Support,2700+,V2.06,Maelstrom,89.00,30.75,0.58,1.52,20.52,11.75,1.78,0.80,0.55,0.34,0.65,0.28,225.52,54.79,9860,19113,30753
Crossplatform Casual,Grohk,Support,3000+,V2.06,Maelstrom,88.95,31.13,0.49,1.42,21.60,11.70,1.68,0.79,0.49,0.31,0.66,0.28,221.99,53.80,1376,2821,3968
Crossplatform Casual,Grohk,Support,Everyone,V2.05,Maelstrom,77.92,30.69,0.70,1.70,20.03,12.74,1.82,0.84,0.61,0.38,0.65,0.29,222.95,58.70,58999,109225,490604
Crossplatform Casual,Grohk,Support,2100+,V2.05,Maelstrom,81.59,29.96,0.72,1.71,20.63,12.57,1.84,0.83,0.60,0.37,0.65,0.28,225.19,56.87,46523,86725,246475
Crossplatform Casual,Grohk,Support,2500+,V2.05,Maelstrom,84.96,30.05,0.67,1.64,20.99,12.18,1.81,0.81,0.57,0.35,0.65,0.28,224.01,55.04,18656,35907,69587
Crossplatform Casual,Grohk,Support,2700+,V2.05,Maelstrom,86.50,30.35,0.61,1.55,21.47,11.99,1.76,0.79,0.54,0.33,0.65,0.28,222.63,53.81,7658,14995,24351
Crossplatform Casual,Grohk,Support,3000+,V2.05,Maelstrom,88.62,30.91,0.51,1.35,22.53,11.38,1.70,0.78,0.50,0.30,0.64,0.28,220.59,51.62,1197,2408,3335
Crossplatform Casual,Grohk,Support,Everyone,V2.04,Maelstrom,79.46,29.72,0.72,1.69,21.12,13.09,1.81,0.83,0.59,0.37,0.64,0.28,221.83,56.91,26265,49541,154107
Crossplatform Casual,Grohk,Support,2100+,V2.04,Maelstrom,81.78,29.32,0.72,1.69,21.44,12.91,1.81,0.82,0.58,0.35,0.65,0.28,222.85,55.72,21275,40547,100708
Crossplatform Casual,Grohk,Support,2500+,V2.04,Maelstrom,84.83,29.36,0.68,1.64,21.98,12.42,1.78,0.80,0.55,0.33,0.65,0.28,222.44,54.09,9689,19087,37276
Crossplatform Casual,Grohk,Support,2700+,V2.04,Maelstrom,85.99,29.36,0.63,1.54,22.49,12.07,1.73,0.79,0.52,0.32,0.65,0.27,220.35,53.17,4411,8979,15741
Crossplatform Casual,Grohk,Support,3000+,V2.04,Maelstrom,89.35,30.65,0.51,1.40,24.12,12.14,1.64,0.77,0.47,0.30,0.65,0.28,218.52,51.81,869,1837,2818
Crossplatform Casual,Grohk,Support,Everyone,V2.03,Maelstrom,82.26,31.25,0.66,1.65,22.84,14.74,1.86,0.84,0.61,0.38,0.63,0.28,226.03,57.94,32043,59460,180404
Crossplatform Casual,Grohk,Support,2100+,V2.03,Maelstrom,84.82,30.94,0.66,1.65,23.01,14.36,1.86,0.84,0.60,0.37,0.63,0.28,226.78,56.80,26093,49092,122148
Crossplatform Casual,Grohk,Support,2500+,V2.03,Maelstrom,87.84,31.12,0.60,1.57,23.15,13.56,1.82,0.82,0.56,0.35,0.64,0.27,225.40,55.43,12408,24175,48411
Crossplatform Casual,Grohk,Support,2700+,V2.03,Maelstrom,89.73,31.61,0.52,1.47,23.72,13.26,1.77,0.79,0.53,0.33,0.64,0.27,224.44,54.22,5973,11821,21564
Crossplatform Casual,Grohk,Support,3000+,V2.03,Maelstrom,94.68,33.14,0.42,1.35,25.44,13.50,1.75,0.79,0.51,0.32,0.63,0.27,225.76,53.28,1412,2889,4537
Crossplatform Casual,Grohk,Support,Everyone,V2.02,Maelstrom,80.37,31.34,0.68,1.66,22.47,14.62,1.85,0.84,0.60,0.37,0.64,0.28,224.75,57.71,57875,108301,358367
Crossplatform Casual,Grohk,Support,2500+,V2.02,Maelstrom,87.08,31.60,0.62,1.58,23.30,13.68,1.83,0.82,0.56,0.34,0.64,0.27,225.50,55.05,21520,42188,78919
Crossplatform Casual,Grohk,Support,2700+,V2.02,Maelstrom,90.01,32.30,0.54,1.48,24.16,13.38,1.80,0.81,0.53,0.33,0.64,0.27,225.31,53.73,9932,19808,33358
Crossplatform Casual,Grohk,Support,3000+,V2.02,Maelstrom,95.14,33.93,0.43,1.35,26.06,13.59,1.77,0.82,0.50,0.33,0.63,0.28,227.18,53.97,2295,4598,6811
Controller Ranked,Grohk,Support,Everyone,V2.07,Maelstrom,94.43,30.05,0.83,1.86,26.59,16.21,1.94,0.84,0.62,0.36,0.64,0.28,235.84,55.14,625,1141,3232
Controller Ranked,Grohk,Support,2100+,V2.07,Maelstrom,99.59,28.63,0.76,1.71,27.28,13.84,1.89,0.80,0.61,0.35,0.66,0.25,231.02,51.62,61,119,239
Controller Ranked,Grohk,Support,2500+,V2.07,Maelstrom,108.25,16.50,0.00,0.00,34.78,6.10,1.66,0.17,0.39,0.21,0.73,0.10,230.16,23.99,1,3,8
Controller Ranked,Grohk,Support,Everyone,V2.06,Maelstrom,92.44,30.74,0.67,1.73,26.21,15.68,1.90,0.82,0.62,0.36,0.66,0.28,233.34,55.68,3382,6362,19496
Controller Ranked,Grohk,Support,2100+,V2.06,Maelstrom,97.26,30.17,0.68,1.75,26.89,14.91,1.90,0.79,0.62,0.35,0.65,0.27,234.07,53.15,1926,3635,8410
Controller Ranked,Grohk,Support,2500+,V2.06,Maelstrom,100.13,28.56,0.75,1.86,28.27,13.65,1.80,0.75,0.54,0.32,0.66,0.26,229.58,50.61,337,701,1287
Controller Ranked,Grohk,Support,2700+,V2.06,Maelstrom,100.82,30.64,0.64,1.54,29.94,14.03,1.75,0.68,0.53,0.32,0.63,0.26,228.83,48.83,95,194,345
Controller Ranked,Grohk,Support,3000+,V2.06,Maelstrom,101.66,17.06,0.75,1.68,27.49,9.24,1.37,0.98,0.39,0.30,0.74,0.41,209.86,57.91,1,5,9
Controller Ranked,Grohk,Support,Everyone,V2.05,Maelstrom,89.06,30.43,0.75,1.82,26.87,15.47,1.91,0.83,0.61,0.36,0.66,0.28,230.59,54.95,2723,5162,17681
Controller Ranked,Grohk,Support,2100+,V2.05,Maelstrom,94.44,29.69,0.75,1.84,28.34,15.58,1.92,0.81,0.60,0.35,0.66,0.27,231.57,52.12,1488,2863,8247
Controller Ranked,Grohk,Support,2500+,V2.05,Maelstrom,99.79,30.07,0.70,1.78,29.30,14.17,1.91,0.77,0.58,0.34,0.67,0.25,232.35,48.89,363,665,1701
Controller Ranked,Grohk,Support,2700+,V2.05,Maelstrom,100.28,32.07,0.52,1.54,29.71,14.61,1.93,0.77,0.57,0.32,0.63,0.24,232.60,48.78,120,207,530
Controller Ranked,Grohk,Support,3000+,V2.05,Maelstrom,114.80,46.55,0.24,0.53,27.53,5.95,1.86,0.84,0.61,0.31,0.70,0.34,255.24,66.30,4,5,22
Controller Ranked,Grohk,Support,Everyone,V2.04,Maelstrom,90.27,29.99,0.95,2.10,28.78,16.42,1.89,0.81,0.60,0.35,0.67,0.28,231.57,53.71,1198,2361,9818
Controller Ranked,Grohk,Support,2100+,V2.04,Maelstrom,94.46,28.11,1.06,2.24,29.17,16.13,1.89,0.77,0.59,0.33,0.67,0.27,231.37,50.28,762,1544,6187
Controller Ranked,Grohk,Support,2500+,V2.04,Maelstrom,95.13,27.13,1.26,2.54,30.55,15.53,1.81,0.77,0.54,0.30,0.66,0.27,228.06,48.94,170,355,1835
Controller Ranked,Grohk,Support,2700+,V2.04,Maelstrom,96.03,27.64,1.18,2.41,31.42,16.37,1.84,0.76,0.51,0.27,0.61,0.28,230.85,45.66,52,106,638
Controller Ranked,Grohk,Support,3000+,V2.04,Maelstrom,99.09,29.65,0.86,1.21,23.21,4.78,2.53,0.18,0.81,0.05,0.39,0.05,277.76,2.61,2,2,14
Controller Ranked,Grohk,Support,Everyone,V2.03,Maelstrom,89.10,31.44,0.74,1.83,30.41,19.83,1.95,0.84,0.62,0.37,0.65,0.28,234.84,55.79,1976,3690,17765
Controller Ranked,Grohk,Support,2100+,V2.03,Maelstrom,93.58,30.11,0.82,1.90,32.14,20.16,1.97,0.81,0.61,0.35,0.65,0.28,236.37,53.33,1223,2323,11659
Controller Ranked,Grohk,Support,2500+,V2.03,Maelstrom,96.97,30.37,0.85,1.93,34.49,20.91,1.90,0.75,0.56,0.32,0.64,0.27,235.77,48.77,309,596,3985
Controller Ranked,Grohk,Support,2700+,V2.03,Maelstrom,102.12,30.79,0.74,1.71,34.20,19.29,1.96,0.76,0.58,0.32,0.59,0.26,238.53,47.93,132,242,1562
Controller Ranked,Grohk,Support,3000+,V2.03,Maelstrom,103.47,33.00,0.16,0.61,35.30,13.08,1.93,0.80,0.61,0.44,0.46,0.19,235.03,40.98,10,15,65
Controller Ranked,Grohk,Support,Everyone,V2.02,Maelstrom,84.79,30.44,0.75,1.83,32.40,22.07,1.90,0.82,0.59,0.36,0.65,0.28,233.68,56.84,2015,3787,17376
Controller Ranked,Grohk,Support,2100+,V2.02,Maelstrom,88.43,29.80,0.77,1.78,33.56,22.15,1.89,0.79,0.56,0.33,0.67,0.27,233.50,54.39,1134,2173,10281
Controller Ranked,Grohk,Support,2500+,V2.02,Maelstrom,90.90,30.18,0.74,1.79,33.52,21.83,1.84,0.72,0.53,0.30,0.65,0.25,232.86,51.00,291,570,3385
Controller Ranked,Grohk,Support,2700+,V2.02,Maelstrom,95.61,30.96,0.76,1.88,32.39,18.26,1.85,0.68,0.52,0.29,0.63,0.25,233.96,50.06,86,170,1132
Controller Ranked,Grohk,Support,3000+,V2.02,Maelstrom,93.67,23.89,0.43,1.48,28.08,7.30,1.50,0.51,0.43,0.18,0.67,0.23,211.68,45.94,6,12,42
Controller Ranked,Imani,Damage,2100+,V2.07,Mana Rift,91.38,19.65,0.19,0.38,0.00,0.00,1.34,0.38,0.86,0.30,0.72,0.12,214.74,54.31,3,4,56
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.06,Mana Rift,97.36,15.17,2.11,2.05,0.00,0.00,1.29,0.53,0.71,0.33,0.53,0.19,215.04,35.43,8,17,324
Controller Ranked,Imani,Damage,Everyone,V2.07,Mana Rift,73.84,23.66,1.98,1.85,0.00,0.00,1.26,0.62,0.71,0.42,0.74,0.28,199.41,53.58,85,204,1489
Crossplatform Casual,Imani,Damage,3000+,V2.06,Mana Rift,73.27,24.36,1.87,1.82,0.00,0.00,1.20,0.55,0.66,0.34,0.65,0.25,208.75,43.52,76,138,1415
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.06,Mana Rift,85.92,25.42,2.05,2.17,0.00,0.00,1.22,0.64,0.69,0.37,0.66,0.27,212.71,49.20,21,54,1130
Crossplatform Casual,Imani,Damage,Everyone,V2.03,Mana Rift,68.34,25.32,2.22,1.79,0.00,0.00,1.40,0.66,0.82,0.45,0.67,0.28,206.17,57.45,16774,33979,379976
PS4 Casual,Imani,Damage,Everyone,V2.06,Mana Rift,58.23,23.40,2.50,1.83,0.00,0.00,1.27,0.65,0.72,0.42,0.72,0.29,199.25,59.18,9559,20430,220802
PS4 Ranked,Imani,Damage,2700+,V2.03,Mana Rift,79.55,21.75,1.85,2.52,0.00,0.00,0.98,0.56,0.53,0.38,0.77,0.27,196.17,42.39,9,27,1846
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.06,Mana Rift,82.94,25.44,2.04,1.98,0.00,0.00,1.24,0.62,0.70,0.39,0.74,0.27,205.19,49.30,210,557,9538
PS4 Casual,Imani,Damage,2100+,V2.06,Mana Rift,62.85,22.96,2.29,1.93,0.00,0.00,1.27,0.63,0.72,0.40,0.73,0.29,202.54,56.36,5339,11702,119077
Crossplatform Casual,Imani,Damage,3000+,V2.04,Mana Rift,78.77,23.21,1.45,1.74,0.00,0.00,1.25,0.62,0.69,0.43,0.64,0.25,202.32,45.47,32,84,4572
PS4 Casual,Imani,Damage,2500+,V2.06,Mana Rift,66.66,23.32,1.90,1.95,0.00,0.00,1.22,0.59,0.68,0.37,0.73,0.28,200.21,52.28,1184,2735,31327
PS4 Casual,Imani,Damage,2700+,V2.06,Mana Rift,67.49,22.22,1.54,1.83,0.00,0.00,1.17,0.56,0.65,0.36,0.73,0.27,198.14,49.71,329,762,9689
PS4 Ranked,Imani,Damage,2500+,V2.03,Mana Rift,80.47,23.74,2.28,2.36,0.00,0.00,1.20,0.59,0.64,0.36,0.74,0.27,207.26,46.86,33,87,4423
PS4 Ranked,Imani,Damage,3000+,V2.03,Mana Rift,79.91,18.87,0.91,1.82,0.00,0.00,1.35,0.61,0.79,0.25,0.56,0.18,205.40,34.81,2,4,197
PS4 Casual,Imani,Damage,3000+,V2.06,Mana Rift,70.35,21.13,0.94,1.73,0.00,0.00,1.12,0.53,0.59,0.33,0.66,0.26,192.39,48.55,30,66,818
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.06,Mana Rift,79.36,26.60,2.03,1.91,0.00,0.00,1.26,0.63,0.72,0.41,0.72,0.28,206.82,52.87,1001,2404,27637
PS4 Casual,Imani,Damage,Everyone,V2.05,Mana Rift,57.72,23.32,2.43,1.84,0.00,0.00,1.29,0.65,0.74,0.42,0.72,0.29,199.50,58.58,11429,24245,245264
PS4 Casual,Imani,Damage,2100+,V2.05,Mana Rift,62.26,23.35,2.24,1.94,0.00,0.00,1.30,0.64,0.73,0.41,0.73,0.29,202.08,56.36,6122,13455,139865
PS4 Ranked,Imani,Damage,2100+,V2.03,Mana Rift,83.56,24.85,2.30,2.09,0.00,0.00,1.42,0.68,0.79,0.43,0.72,0.28,215.87,54.51,423,970,17547
PS4 Casual,Imani,Damage,2500+,V2.05,Mana Rift,66.94,23.50,1.88,1.98,0.00,0.00,1.25,0.63,0.70,0.40,0.73,0.29,201.39,52.64,1516,3487,42224
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.07,Mana Rift,108.80,5.65,1.74,0.44,0.00,0.00,1.71,0.62,0.81,0.37,0.46,0.20,204.26,88.49,2,2,31
PS4 Casual,Imani,Damage,2700+,V2.05,Mana Rift,69.29,23.06,1.71,2.02,0.00,0.00,1.23,0.62,0.68,0.39,0.71,0.27,200.29,50.57,480,1092,15052
PS4 Ranked,Imani,Damage,Everyone,V2.02,Mana Rift,78.03,25.75,2.30,1.91,0.00,0.00,1.41,0.65,0.80,0.42,0.70,0.28,215.01,54.38,1449,3139,35572
PS4 Ranked,Imani,Damage,Everyone,V2.03,Mana Rift,78.70,26.28,2.39,1.98,0.00,0.00,1.44,0.69,0.81,0.44,0.71,0.29,216.47,57.59,1109,2412,29864
PS4 Casual,Imani,Damage,3000+,V2.05,Mana Rift,74.55,24.96,1.08,1.86,0.00,0.00,1.30,0.67,0.75,0.44,0.63,0.28,207.60,52.05,71,143,1960
PS4 Casual,Imani,Damage,Everyone,V2.04,Mana Rift,62.20,26.62,2.56,1.76,0.00,0.00,1.39,0.72,0.80,0.47,0.70,0.30,204.62,62.60,3702,7380,111989
Crossplatform Casual,Imani,Damage,2700+,V2.06,Mana Rift,72.23,23.62,1.79,1.92,0.00,0.00,1.21,0.58,0.69,0.39,0.67,0.27,202.19,50.93,499,1119,14402
PS4 Casual,Imani,Damage,2100+,V2.04,Mana Rift,68.11,26.46,2.35,1.90,0.00,0.00,1.40,0.70,0.80,0.45,0.71,0.29,208.60,59.55,1892,3877,58939
