Version,Champion,Winrate|% Games Won,Damage Done|Damage Per Second,Shielding|Shielding Per Second,Healing|Healing Per Second,Popularity|% Games Chosen,Kills|Kills Per Minute,Slays|Slays Per Minute,Deaths|Deaths Per Minute,Credits|Credits Per Minute,Count
OB61,Buck,0.540,85.249,0.000,0.000,0.218,1.870,1.121,0.718,237.608,70354
OB61,Cassie,0.426,79.684,0.000,0.000,0.126,1.537,0.787,0.708,211.249,40720
OB61,Drogoz,0.516,95.138,0.000,0.000,0.339,1.554,0.866,0.677,222.453,109431
OB61,Evie,0.483,73.873,0.000,0.000,0.190,1.489,0.883,0.664,210.327,61408
OB61,Fernando,0.523,60.186,117.122,0.000,0.700,1.256,0.426,0.616,247.968,226151
OB61,Grohk,0.519,50.702,1.284,50.176,0.057,1.407,0.321,0.585,229.221,18313
OB61,Grover,0.519,58.056,0.000,65.275,0.195,1.298,0.438,0.588,229.119,62816
OB61,Inara,0.535,64.336,22.702,0.000,0.309,1.434,0.408,0.624,239.195,99777
OB61,Jenos,0.508,44.785,0.000,99.756,0.509,1.402,0.392,0.510,220.815,164316
OB61,Kinessa,0.340,58.091,0.000,0.000,0.067,1.160,0.558,0.711,177.709,21713
OB61,Lex,0.509,81.100,0.000,0.000,0.276,1.907,1.085,0.764,268.815,89030
OB61,Lian,0.433,87.831,0.000,0.000,0.200,1.627,0.734,0.763,216.324,64601
OB61,Maeve,0.491,73.934,0.000,0.000,0.289,1.608,0.952,0.725,215.852,93406
OB61,Makoa,0.491,64.472,50.310,0.000,0.630,1.395,0.622,0.588,233.142,203494
OB61,Mal'Damba,0.483,42.889,0.000,85.427,0.307,1.078,0.307,0.648,209.989,99182
OB61,Pip,0.496,56.128,0.000,51.100,0.164,1.343,0.462,0.616,208.444,52818
OB61,Ruckus,0.459,77.418,51.755,0.000,0.470,1.559,0.573,0.709,227.479,151936
OB61,Seris,0.475,46.204,0.000,76.527,0.497,1.074,0.315,0.518,205.529,160458
OB61,Sha Lin,0.455,88.076,0.000,0.000,0.192,1.543,0.886,0.707,215.815,61939
OB61,Skye,0.476,75.435,0.000,0.000,0.251,1.608,0.961,0.752,216.436,81195
OB61,Strix,0.385,70.605,0.000,0.000,0.112,1.372,0.715,0.625,194.090,36037
OB61,Talus,0.477,75.648,0.000,0.000,0.147,1.657,0.936,0.762,219.536,47430
OB61,Torvald,0.569,74.618,84.615,0.000,0.721,1.716,0.647,0.529,244.526,232842
OB61,Tyra,0.540,96.888,0.000,0.000,0.331,1.778,0.844,0.764,235.107,107003
OB61,Viktor,0.453,87.950,0.000,0.000,0.325,1.625,0.809,0.729,217.309,105104
OB61,Willo,0.515,86.218,0.000,0.000,0.201,1.675,0.763,0.673,218.715,65047
OB61,Ying,0.540,47.687,0.000,88.662,0.332,1.269,0.344,0.574,219.817,107114
OB61,Zhin,0.512,74.020,0.000,0.000,0.210,1.494,0.876,0.690,215.456,67959
OB62,Androxus,0.453,74.792,0.000,0.000,0.350,1.576,1.033,0.820,217.304,106360
OB62,Ash,0.460,63.521,45.221,0.000,0.337,1.317,0.393,0.648,228.294,102265
OB62,Barik,0.482,70.341,79.948,0.000,0.268,1.643,0.429,0.628,233.691,81383
OB62,Bomb King,0.538,74.175,0.000,0.000,0.437,1.530,0.792,0.695,215.944,132654
OB62,Buck,0.542,85.176,0.000,0.000,0.218,1.900,1.143,0.717,238.656,66265
OB62,Cassie,0.414,75.851,0.000,0.000,0.072,1.462,0.727,0.704,205.252,21975
OB62,Drogoz,0.490,94.406,0.000,0.000,0.348,1.530,0.848,0.716,220.349,105595
OB62,Evie,0.479,72.772,0.000,0.000,0.198,1.466,0.859,0.672,208.343,60007
OB62,Fernando,0.489,59.388,111.995,0.000,0.638,1.246,0.410,0.641,243.554,193785
OB62,Grohk,0.581,65.413,0.954,65.023,0.141,1.632,0.420,0.570,252.604,42937
OB62,Grover,0.468,58.693,0.000,56.093,0.141,1.270,0.433,0.610,219.686,42798
OB62,Inara,0.514,64.555,23.114,0.000,0.354,1.465,0.413,0.638,238.230,107605
OB62,Jenos,0.488,49.574,0.000,97.206,0.543,1.457,0.434,0.517,221.835,164953
OB62,Kinessa,0.366,60.293,0.000,0.000,0.069,1.218,0.591,0.695,181.138,20866
OB62,Lex,0.524,83.542,0.000,0.000,0.297,1.989,1.146,0.747,274.700,90180
OB62,Lian,0.446,91.038,0.000,0.000,0.155,1.706,0.769,0.749,220.728,47000
OB62,Maeve,0.492,73.012,0.000,0.000,0.280,1.607,0.947,0.722,215.451,85204
OB62,Makoa,0.451,62.689,46.932,0.000,0.572,1.352,0.587,0.632,226.606,173821
OB62,Mal'Damba,0.548,56.872,0.000,94.850,0.388,1.362,0.381,0.608,229.113,117800
OB62,Pip,0.479,57.377,0.000,52.825,0.159,1.358,0.468,0.616,207.912,48222
OB62,Ruckus,0.458,78.400,51.952,0.000,0.361,1.605,0.585,0.706,229.130,109629
OB62,Seris,0.473,47.817,0.000,79.833,0.460,1.112,0.329,0.511,207.364,139822
OB62,Sha Lin,0.459,88.974,0.000,0.000,0.195,1.559,0.886,0.701,216.626,59342
OB62,Skye,0.471,74.409,0.000,0.000,0.236,1.591,0.943,0.762,214.551,71703
OB62,Strix,0.397,71.185,0.000,0.000,0.106,1.377,0.715,0.619,194.320,32272
OB62,Talus,0.467,74.231,0.000,0.000,0.128,1.631,0.910,0.764,216.706,39006
OB62,Terminus,0.661,75.969,0.000,0.000,0.434,1.482,0.733,0.522,248.928,131976
OB62,Torvald,0.543,73.132,84.364,0.000,0.708,1.699,0.626,0.544,241.494,214971
OB62,Tyra,0.533,97.634,0.000,0.000,0.386,1.778,0.831,0.764,233.820,117170
OB62,Viktor,0.460,88.749,0.000,0.000,0.314,1.654,0.814,0.717,218.120,95544
OB62,Willo,0.491,85.856,0.000,0.000,0.194,1.650,0.741,0.681,216.425,58893
OB62,Ying,0.509,48.243,0.000,89.399,0.264,1.267,0.335,0.582,217.675,80237
OB62,Zhin,0.522,77.536,0.000,0.000,0.250,1.600,0.951,0.684,221.487,75840
OB63,Androxus,0.456,75.167,0.000,0.000,0.346,1.556,1.008,0.813,215.381,216553
OB63,Ash,0.479,62.395,45.451,0.000,0.361,1.297,0.386,0.634,226.983,225412
OB63,Barik,0.492,68.597,81.805,0.000,0.259,1.613,0.422,0.616,232.382,161919
OB63,Bomb King,0.536,74.946,0.000,0.000,0.416,1.519,0.800,0.683,215.923,260246
OB63,Buck,0.551,85.745,0.000,0.000,0.215,1.903,1.147,0.687,238.724,134614
OB63,Cassie,0.416,76.260,0.000,0.000,0.059,1.459,0.726,0.686,204.981,37176
OB63,Drogoz,0.500,96.391,0.000,0.000,0.399,1.545,0.859,0.695,221.029,249126
OB63,Evie,0.473,73.212,0.000,0.000,0.170,1.456,0.855,0.663,207.237,106089
OB63,Fernando,0.519,59.703,111.729,0.000,0.684,1.255,0.417,0.616,244.400,427808
OB63,Grohk,0.585,67.735,1.019,57.682,0.179,1.638,0.434,0.533,249.379,111859
OB63,Grover,0.500,60.875,0.000,60.613,0.156,1.303,0.452,0.569,223.948,97621
OB63,Inara,0.527,64.302,22.962,0.000,0.437,1.454,0.416,0.623,237.190,273117
OB63,Jenos,0.531,49.122,0.000,99.894,0.610,1.486,0.437,0.487,224.929,381230
OB63,Kinessa,0.361,60.170,0.000,0.000,0.068,1.191,0.582,0.683,179.695,42253
OB63,Lex,0.509,82.067,0.000,0.000,0.295,1.923,1.111,0.763,269.852,184325
OB63,Lian,0.457,93.539,0.000,0.000,0.151,1.716,0.777,0.735,222.039,94356
OB63,Maeve,0.493,72.344,0.000,0.000,0.281,1.578,0.935,0.716,213.657,175773
OB63,Makoa,0.477,62.913,48.033,0.000,0.616,1.361,0.589,0.602,227.618,384993
OB63,Mal'Damba,0.456,43.133,0.000,87.568,0.335,1.068,0.297,0.635,208.241,209693
OB63,Pip,0.480,57.710,0.000,50.784,0.162,1.345,0.469,0.609,206.681,101497
OB63,Ruckus,0.476,80.035,52.141,0.000,0.412,1.616,0.600,0.685,229.700,257760
OB63,Seris,0.481,48.486,0.000,78.086,0.451,1.117,0.336,0.501,207.375,281711
OB63,Sha Lin,0.446,88.546,0.000,0.000,0.190,1.520,0.859,0.693,213.936,118958
OB63,Skye,0.463,73.635,0.000,0.000,0.225,1.557,0.926,0.756,212.314,140354
OB63,Strix,0.382,69.756,0.000,0.000,0.119,1.333,0.689,0.618,190.979,74485
OB63,Talus,0.491,76.627,0.000,0.000,0.145,1.671,0.949,0.748,219.970,90522
OB63,Terminus,0.588,71.018,0.000,0.000,0.224,1.357,0.670,0.631,234.439,139924
OB63,Torvald,0.533,70.495,84.575,0.000,0.639,1.633,0.600,0.574,236.428,399337
OB63,Tyra,0.533,97.692,0.000,0.000,0.385,1.760,0.827,0.755,233.234,240563
OB63,Viktor,0.455,88.420,0.000,0.000,0.307,1.624,0.807,0.711,216.712,191872
OB63,Willo,0.500,85.863,0.000,0.000,0.186,1.648,0.746,0.665,215.974,116329
OB63,Ying,0.504,47.927,0.000,86.470,0.228,1.247,0.339,0.580,215.792,142231
OB63,Zhin,0.531,78.335,0.000,0.000,0.290,1.614,0.970,0.672,222.303,181354
OB64,Androxus,0.428,65.420,0.000,0.000,0.235,1.411,0.899,0.837,205.270,76623
OB64,Ash,0.504,71.225,49.582,0.000,0.434,1.469,0.545,0.643,233.782,141477
OB64,Barik,0.474,62.826,74.404,0.000,0.180,1.596,0.419,0.642,227.604,58851
OB64,Bomb King,0.530,76.231,0.000,0.000,0.325,1.562,0.835,0.681,218.092,105985
OB64,Buck,0.523,75.170,0.000,0.000,0.169,1.755,0.975,0.693,226.925,55267
OB64,Cassie,0.495,95.392,0.000,0.000,0.168,1.810,0.971,0.608,228.868,54786
OB64,Drogoz,0.524,96.808,0.000,0.000,0.374,1.645,0.930,0.678,226.616,121877
OB64,Evie,0.450,64.577,0.000,0.000,0.119,1.351,0.763,0.694,198.685,38974
OB64,Fernando,0.499,56.725,97.835,0.000,0.604,1.242,0.414,0.656,236.801,197011
OB64,Grohk,0.580,64.223,5.450,60.062,0.187,1.645,0.442,0.617,247.199,61077
OB64,Grover,0.514,61.038,0.000,64.336,0.160,1.356,0.480,0.581,226.427,52206
OB64,Inara,0.526,61.928,22.949,0.000,0.543,1.471,0.436,0.633,235.191,177041
OB64,Jenos,0.490,46.053,0.000,88.729,0.501,1.429,0.417,0.537,215.984,163357
OB64,Kinessa,0.404,66.714,0.000,0.000,0.094,1.371,0.682,0.611,191.480,30580
OB64,Lex,0.486,72.469,0.000,0.000,0.235,1.809,0.993,0.782,259.940,76560
OB64,Lian,0.460,91.161,0.000,0.000,0.164,1.745,0.828,0.741,223.642,53664
OB64,Maeve,0.467,64.772,0.000,0.000,0.251,1.486,0.877,0.754,207.710,81756
OB64,Makoa,0.499,62.676,50.019,0.000,0.632,1.409,0.612,0.599,231.481,206312
OB64,Mal'Damba,0.475,44.105,0.000,84.448,0.317,1.145,0.326,0.615,210.677,103579
OB64,Pip,0.508,62.153,0.000,43.224,0.193,1.495,0.567,0.589,212.214,62984
OB64,Ruckus,0.443,71.147,44.942,0.000,0.332,1.546,0.554,0.710,222.072,108420
OB64,Seris,0.513,49.269,0.000,80.355,0.615,1.236,0.364,0.508,214.404,200762
OB64,Sha Lin,0.446,87.345,0.000,0.000,0.157,1.540,0.887,0.701,215.106,51294
OB64,Skye,0.460,67.686,0.000,0.000,0.188,1.513,0.865,0.754,208.583,61399
OB64,Strix,0.423,75.455,0.000,0.000,0.144,1.528,0.797,0.599,203.613,46922
OB64,Talus,0.520,75.528,0.000,0.000,0.279,1.760,1.015,0.755,225.205,90905
OB64,Terminus,0.578,67.100,0.000,0.000,0.282,1.351,0.683,0.702,230.462,92154
OB64,Torvald,0.534,67.349,78.879,0.000,0.553,1.638,0.609,0.606,232.524,180320
OB64,Tyra,0.534,95.811,0.000,0.000,0.334,1.792,0.855,0.755,234.186,109091
OB64,Viktor,0.468,89.702,0.000,0.000,0.289,1.711,0.861,0.699,222.021,94451
OB64,Vivian,0.470,86.905,15.670,0.000,0.248,1.807,0.827,0.693,223.627,81008
OB64,Willo,0.485,81.382,0.000,0.000,0.149,1.668,0.758,0.666,214.966,48681
OB64,Ying,0.492,44.285,0.000,79.902,0.191,1.232,0.332,0.582,211.773,62237
OB64,Zhin,0.540,75.881,0.000,0.000,0.353,1.642,0.993,0.687,222.807,115149
OB65,Androxus,0.421,64.940,0.000,0.000,0.189,1.374,0.873,0.831,202.981,112109
OB65,Ash,0.492,71.393,49.559,0.000,0.511,1.430,0.529,0.636,232.747,302838
OB65,Barik,0.462,60.751,76.611,0.000,0.161,1.525,0.400,0.636,225.522,95544
OB65,Bomb King,0.509,72.894,0.000,0.000,0.280,1.467,0.782,0.690,212.951,166027
OB65,Buck,0.528,76.796,0.000,0.000,0.177,1.758,0.976,0.665,227.789,104798
OB65,Cassie,0.500,94.956,0.000,0.000,0.188,1.773,0.948,0.601,227.745,111371
OB65,Drogoz,0.529,98.174,0.000,0.000,0.393,1.618,0.914,0.677,226.568,232879
OB65,Evie,0.425,63.055,0.000,0.000,0.086,1.276,0.714,0.688,194.147,50974
OB65,Fernando,0.497,59.139,96.286,0.000,0.597,1.246,0.419,0.640,238.026,353627
OB65,Grohk,0.585,62.851,4.339,66.399,0.208,1.608,0.417,0.609,249.183,123417
OB65,Grover,0.510,61.745,0.000,65.720,0.162,1.333,0.468,0.575,226.441,96135
OB65,Inara,0.530,63.575,21.529,0.000,0.506,1.464,0.433,0.621,237.031,300211
OB65,Jenos,0.479,45.045,0.000,88.582,0.424,1.374,0.389,0.535,213.648,251507
OB65,Kinessa,0.406,68.565,0.000,0.000,0.104,1.367,0.676,0.606,192.548,61781
OB65,Lex,0.477,72.453,0.000,0.000,0.205,1.775,0.974,0.771,257.794,121791
OB65,Lian,0.462,93.324,0.000,0.000,0.201,1.731,0.826,0.736,224.207,119416
OB65,Maeve,0.467,65.381,0.000,0.000,0.241,1.480,0.878,0.748,207.818,143098
OB65,Makoa,0.510,65.039,47.961,0.000,0.659,1.434,0.624,0.569,234.804,390632
OB65,Mal'Damba,0.468,45.684,0.000,84.541,0.357,1.136,0.330,0.602,209.780,211674
OB65,Pip,0.507,65.274,0.000,40.279,0.208,1.515,0.602,0.588,212.673,123357
OB65,Ruckus,0.451,74.820,44.765,0.000,0.328,1.564,0.579,0.691,224.664,194230
OB65,Seris,0.524,48.830,0.000,89.590,0.718,1.224,0.350,0.497,218.510,425844
OB65,Sha Lin,0.453,87.669,0.000,0.000,0.155,1.513,0.869,0.697,214.724,91758
OB65,Skye,0.452,67.469,0.000,0.000,0.178,1.480,0.840,0.751,206.936,105454
OB65,Strix,0.428,77.492,0.000,0.000,0.187,1.558,0.789,0.605,205.412,111091
OB65,Talus,0.525,77.586,0.000,0.000,0.280,1.758,1.013,0.748,226.407,165912
OB65,Terminus,0.578,67.258,0.000,0.000,0.271,1.338,0.674,0.693,230.955,160626
OB65,Torvald,0.532,67.480,81.907,0.000,0.571,1.613,0.590,0.588,231.920,338571
OB65,Tyra,0.522,95.084,0.000,0.000,0.310,1.725,0.812,0.772,231.140,183705
OB65,Viktor,0.468,90.597,0.000,0.000,0.312,1.681,0.840,0.699,221.486,184937
OB65,Vivian,0.471,86.053,15.417,0.000,0.187,1.768,0.803,0.692,222.679,110689
OB65,Willo,0.498,84.153,0.000,0.000,0.120,1.690,0.776,0.653,217.408,71318
OB65,Ying,0.470,44.741,0.000,77.979,0.139,1.194,0.322,0.586,209.269,82380
OB65,Zhin,0.543,78.493,0.000,0.000,0.384,1.657,1.005,0.677,224.285,227599
OB66,Androxus,0.450,67.751,0.000,0.000,0.201,1.430,0.915,0.767,203.170,34716
OB66,Ash,0.495,67.894,50.731,0.000,0.542,1.381,0.498,0.627,225.388,93518
OB66,Barik,0.458,59.296,72.808,0.000,0.126,1.487,0.396,0.623,217.537,21789
OB66,Bomb King,0.524,70.324,0.000,0.000,0.259,1.433,0.763,0.673,207.869,44667
OB66,Buck,0.485,69.312,0.000,0.000,0.115,1.576,0.858,0.686,211.832,19923
OB66,Cassie,0.485,90.578,0.000,0.000,0.192,1.665,0.867,0.593,219.335,33119
OB66,Drogoz,0.449,85.693,0.000,0.000,0.281,1.369,0.754,0.753,205.518,48448
OB66,Evie,0.437,62.771,0.000,0.000,0.077,1.269,0.715,0.680,190.097,13364
OB66,Fernando,0.489,56.114,93.506,0.000,0.574,1.176,0.394,0.646,227.797,99047
OB66,Grohk,0.531,58.079,5.233,56.053,0.135,1.488,0.388,0.649,228.617,23215
OB66,Grover,0.499,54.040,0.000,67.097,0.161,1.241,0.395,0.581,216.804,27716
OB66,Inara,0.533,63.320,20.985,0.000,0.485,1.455,0.443,0.607,231.544,83744
OB66,Jenos,0.472,44.143,0.000,78.345,0.398,1.328,0.384,0.551,205.371,68679
OB66,Kinessa,0.427,74.432,0.000,0.000,0.151,1.410,0.713,0.597,193.833,26037
OB66,Lex,0.491,73.454,0.000,0.000,0.255,1.831,1.002,0.721,264.704,43996
OB66,Lian,0.471,88.384,0.000,0.000,0.189,1.668,0.793,0.717,216.584,32576
OB66,Maeve,0.466,64.624,0.000,0.000,0.241,1.451,0.867,0.738,202.791,41593
OB66,Makoa,0.532,64.549,48.376,0.000,0.647,1.451,0.639,0.540,232.239,111573
OB66,Mal'Damba,0.465,40.596,0.000,86.263,0.362,1.066,0.288,0.588,203.922,62467
OB66,Moji,0.544,74.882,0.000,8.797,0.167,1.718,1.004,0.745,228.042,28805
OB66,Pip,0.514,63.804,0.000,38.448,0.216,1.502,0.608,0.575,207.810,37253
OB66,Ruckus,0.497,82.441,42.827,0.000,0.503,1.674,0.673,0.637,227.206,86789
OB66,Seris,0.540,46.325,0.000,90.427,0.763,1.194,0.340,0.482,215.512,131698
OB66,Sha Lin,0.468,85.218,0.000,0.000,0.149,1.482,0.842,0.668,209.171,25687
OB66,Skye,0.460,66.601,0.000,0.000,0.167,1.464,0.836,0.722,202.239,28748
OB66,Strix,0.444,78.151,0.000,0.000,0.253,1.592,0.803,0.574,204.237,43585
OB66,Talus,0.517,75.403,0.000,0.000,0.218,1.702,0.987,0.740,220.231,37632
OB66,Terminus,0.566,62.918,0.000,0.000,0.247,1.263,0.629,0.684,220.022,42623
OB66,Torvald,0.505,62.371,81.010,0.000,0.462,1.516,0.540,0.612,220.698,79629
OB66,Tyra,0.543,94.886,0.000,0.000,0.331,1.739,0.829,0.732,229.416,57058
OB66,Viktor,0.478,87.276,0.000,0.000,0.334,1.641,0.825,0.672,215.255,57570
OB66,Vivian,0.488,85.400,15.167,0.000,0.163,1.754,0.805,0.674,219.008,28107
OB66,Willo,0.511,82.937,0.000,0.000,0.122,1.667,0.766,0.633,213.880,21117
OB66,Ying,0.474,44.525,0.000,73.167,0.142,1.231,0.324,0.566,204.253,24423
OB66,Zhin,0.533,76.414,0.000,0.000,0.371,1.603,0.968,0.670,218.077,64029
OB67,Androxus,0.437,71.281,0.000,0.000,0.246,1.443,0.922,0.776,197.094,94569
OB67,Ash,0.489,68.099,54.155,0.000,0.446,1.345,0.470,0.635,218.391,171181
OB67,Barik,0.497,68.057,74.862,0.000,0.174,1.617,0.431,0.590,222.414,66927
OB67,Bomb King,0.532,74.275,0.000,0.000,0.255,1.485,0.790,0.680,206.388,97999
OB67,Buck,0.479,71.775,0.000,0.000,0.072,1.570,0.856,0.687,205.724,27792
OB67,Cassie,0.505,98.273,0.000,0.000,0.197,1.787,0.955,0.610,223.034,75422
OB67,Drogoz,0.453,89.170,0.000,0.000,0.240,1.387,0.767,0.753,199.351,92234
OB67,Evie,0.460,69.405,0.000,0.000,0.096,1.371,0.778,0.660,192.207,36825
OB67,Fernando,0.511,63.461,93.612,0.000,0.574,1.282,0.431,0.626,226.653,220135
OB67,Grohk,0.554,58.883,4.920,70.361,0.125,1.667,0.372,0.647,234.242,47833
OB67,Grover,0.464,53.463,0.000,69.812,0.104,1.650,0.360,0.621,218.374,39907
OB67,Inara,0.545,65.409,23.108,0.000,0.567,1.479,0.438,0.583,229.878,217744
OB67,Jenos,0.478,44.302,0.000,89.895,0.455,1.806,0.366,0.549,215.369,174750
OB67,Kinessa,0.416,78.545,0.000,0.000,0.134,1.425,0.714,0.604,190.109,51541
